#separator:tab
#html:true
#tags column:3
"32F + low MCV + low Hb + smear is shown below; Dx?<br><img src=""paste-d55f350f68556e191d781ead2389cc8dfe0a7ad6.jpg"">"	&nbsp;iron deficiency anemia (IDA); smear shows pale RBCs (i.e., with central pallor).	
"<div>55M smoker + red urine + polycythemia + hypercalcemia + unknown biopsy
specimen is shown;
Dx?</div>
<div>
<table>
<tbody><tr>
<td></td>
</tr>
<tr>
<td></td>
<td><img src=""clip_image002-34c83ce1d27ebb44742b9eef74967efc1012612e.jpg""></td>
</tr>
</tbody></table>
<br>
</div>"	"<div>o&nbsp;&nbsp;
Answer = renal cell
carcinoma (RCC) → can cause paraneoplastic secondary polycythemia due to EPO secretion as well as hypercalcemia due to PTHrp secretion (latter
also squamous cell of lung); biopsy shows clear cell
carcinoma (most common variant of RCC; HY biopsy finding for Step 1).</div>"	
"Normal bleeding
time (BT)?&nbsp;"	<div>2-7 minutes.</div>	
"Normal platelet
count (PC)?&nbsp;"	<div>&nbsp;150-450,000/uL.</div>	
Two main ways ITP presents on USMLE?&nbsp;	"<div>1) school-age kid with viral infection
followed by epistaxis and/or bruising/petechiae;&nbsp;</div><div><br></div><div>2) woman 30s-40s
with random bruising
and elevated BT / low platelets.</div>"	
34F + bruises + BT 9 minutes; Dx?&nbsp;	<div>idiopathic/immune thrombocytopenic purpura (ITP).</div>	
34F + bruises + BT 6 minutes; Dx?&nbsp;	"= domestic
abuse (on FM shelf)."	
"34F + viral infection
followed by petechiae + epistaxis; which would confirm the Dx (answers are either ↑ bleeding time or ↓ platelet
count)&nbsp;"	"answer = ↓ platelet count; both are seen, but an isolated
↓ platelet count
in the setting of the clinical picture
is how to confirm Dx of ITP"	
12M + runny nose for 4 days + epistaxis; Dx?&nbsp;	"often follows
viral infection"	
"12M + no mention of
any type of infection + epistaxis + BT 8 minutes; Dx?&nbsp;"	"<div>ITP → student says, “Wait, but you just said it follows
a viral infection.” → <b>USMLE need not mention
viral infections, and they often don’t. </b>Especially
on 2CK-level NBME Qs, for conditions associated with viral infections like ITP, deQuervain subacute
granulomatous thyroiditis, minimal change disease, IgA nephropathy, etc., the Q won’t even mention viral
infection; you just need to know the presentation. Just think: most people with COVID-19 are/were
asymptomatic right?</div>"	
"12M + cough + coryza
+ epistaxis; mechanism for this patient’s condition?&nbsp;"	"<div><b>antibodies against
glycoproteins IIb/IIIa on platelets </b>(type II hypersensitivity);
GpIIb/IIIa mediate platelet aggregation
(not adhesion, which is GpIa, not IIb/IIIa); there is often a genetic
susceptibility to ITP. This is asked on 2CK material
as well.</div>"	
12M + epistaxis + platelet count 50,000; next best step in management?&nbsp;	"<div>steroids.</div>
<div>&nbsp;</div>"	
12M + epistaxis + platelet count 50,000 + steroids not effective; next best step in management?	IVIG.	
"12M + epistaxis + platelet count 50,000; what’s
the most effective way to decrease
recurrence?"	"<div>splenectomy; students
says, “Wait, I thought you just said steroids were what we do first.”</div>
<div>&nbsp;</div>
<div>→ Yeah, you’re right, but the Q asks what’s
<b>most effective </b>in decreasing recurrence, so splenectomy is correct. USMLE
will sometimes ask next best step vs what’s most effective.</div>
<div>o&nbsp;&nbsp;
Two points to note about
ITP Tx:</div>
<div>&nbsp;</div>
<div style=""text-align: center; ""><ul><li>&nbsp;1) some literature has suggested no Tx is necessary in select
pediatric cases where the
presentation is limited to mild cutaneous findings. However on the USMLE, steroids
is always the answer for immediate management.</li></ul><div><br></div><ul><li>&nbsp; 2) Literature suggests sometimes IVIG may be given before
steroids (i.e., extremely low platelet
counts). But on the USMLE,
steroids are always
first, not IVIG.</li></ul></div>
"	
12M + viral infection + low neutrophils;&nbsp;	<div>viral-induced neutropenia (not ITP).</div>	
12M + viral infection + low neutrophils + fever; next best step in Dx + Mx?&nbsp;	"<div>answer = neutropenic fever (febrile neutropenia) → medical emergency; must give immediate IV broad-spectrum antibiotics; patient has possible
infection but no way to defend against
it.</div>"	
"12M + low neutrophils
+ fever + antibiotics are administered; what could help restore this patient’s neutrophil count?&nbsp;"	"→ answer
= granulocyte-macrophage colony-stimulating factor (GM-CSF); molgramostim is commonly used as the GM-CSF agent"	
"8M + viral infection
+ low Hb + low WBCs + low platelets; Dx?&nbsp;"	"<div>aplastic anemia (viral induced;
likely Parvo-B19); aplastic anemia = Dx when all cell lines are down due to decreased
bone marrow production).</div>"	
"32F + malar rash +
arthritis + Hb 9 + WBCs 3000 + platelets 90,000; mechanism for this hematologic presentation?&nbsp;"	"<div>“increased peripheral destruction” (i.e., autoantibodies);</div><div><br></div><div> “decreased bone marrow production” is the <b>wrong </b>answer in SLE; lupus is
associated with the development of anti- hematologic
cell line antibodies, usually against platelets (i.e., it’s common to see
isolated thrombocytopenia in SLE),
but antibodies can form against WBCs and RBCs as well. What makes this difficult is that a ↓ in all cell lines (i.e., RBCs, WBCs, platelets) looks like
aplastic anemia (i.e., such as with
Parvo), but with SLE, the finding is due to antibodies, <b>not </b>defective bone marrow production. In contrast, if this were viral-induced, then yes, that is aplastic
anemia, and the answer is “decreased bone marrow
production.”</div>"	
"44F + hospitalized
and treated for overactive thyroid + Hct 45% + WBCs 1500 (neutrophils 5%; lymphocytes 95%) + PC 250,000; Dx?&nbsp;"	"<div>drug-induced neutropenia → propylthiouracil and methimazole
both can cause agranulocytosis (neutropenia); other HY drugs for
agranulocytosis are ganciclovir (for CMV), clozapine
(anti-psychotic), methotrexate (DMARD),
ticlopidine (anti-platelet).</div>"	
"3M + absent thumb
on the left hand + ↓ Hb + ↓ WBCs + ↓ platelets; Dx?&nbsp;"	"→ answer = Fanconi
anemia; autosomal recessive
aplastic anemia; presents
with absent or hypoplastic thumbs
or radii"	
3M + triphalangeal thumb + ↓ RBCs; Dx?&nbsp;	"<div>&nbsp;Diamond-Blackfan anemia; pure RBC aplasia
that presents with triphalangeal thumb.</div>"	
Cancer associated with pure RBC aplasia?&nbsp;	thymoma	
"8M + viral infection + low Hb + low WBCs + low platelets
+ fever; next best step?&nbsp;"	"immediate IV
antibiotics → even
though viral-induced aplastic anemia, the patient <i>still </i>has a neutropenic fever,
so this is a medical
emergency"	
8M + viral infection + low Hb + low WBCs + low platelets; what’s the next best step in Dx?&nbsp;	"<div>&nbsp;bone
marrow aspiration (to confirm decreased bone marrow production consistent with
aplastic anemia); sounds
overkill, but it’s the answer.</div>"	
"26F + daycare worker
+ coryza + lacy rash on legs and trunk + all immunizations up to date +
afebrile + RBCs, WBCs, and platelets all normal; next best step in Dx?&nbsp;"	"<div>“check Parvovirus IgM titers”</div>
<div>→ in the absence of aplastic anemia,
this is the answer if daycare worker presents with rash.</div>
<div>&nbsp;</div>"	
44F + undergoing chemotherapy + low RBCs + low WBCs + low platelets; next best step in Dx?&nbsp;	"bone marrow
aspiration (chemo-induced aplastic
anemia)."	
44F + undergoing chemotherapy + all cell lines down + temperature 101.8F; next best step?&nbsp;	"<div>&nbsp;immediate IV
broad-spectrum antibiotics; this is chemo-induced aplastic anemia, but there’s a neutropenic fever.</div>"	
"Do we have to know the clotting cascade?”&nbsp;<br><div>To understand many heme disorders, yes, you should
know it:</div>"	"To understand many heme disorders, yes, you should know it:<br><img src=""paste-35c6ca6fba6e95f31cb18ae57d17299a865f2144.jpg"">"	
"Can you explain PT and PTT in relation
to extrinsic and intrinsic pathways?”"	"<div>o&nbsp;&nbsp;
PT reflects the functioning
of the extrinsic pathway; PTT reflects intrinsic. In other words, if PT alone is high, then the <span style=""color: rgb(0, 255, 0);"">extrinsic pathway</span> is fucked up. If PTT alone is
high, then the <span style=""color: rgb(255, 0, 0);"">intrinsic pathway </span>has a problem. If both PT and
PTT are elevated, then the <span style=""color: rgb(0, 0, 255);"">common pathway</span> has an issue.</div>"	
Normal prothrombin time (PT)?&nbsp;	answer = 10-15 seconds.	
Normal activated partial thromboplastin time (aPTT; PTT)?&nbsp;	"<div>25-40 seconds.</div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
aPTT is a slightly more sensitive version
of PTT, but on USMLE they are used interchangeably.</div>
<div>&nbsp;</div>"	
"55F + no Hx of
bleeding problems + coagulation testing prior to CABG shows ↑ PTT + normal PT + normal BT; what’s most likely
to be abnormal in this patient?&nbsp;"	"<div>&nbsp;kallikrein formation.
Patients with ↓ factor XII (Hageman factor) are asymptomatic; factor
XII converts pre- kallikrein into kallikrein.</div>"	
"Neonate + born at home + bleeding from umbilical site;
what are the arrows for BT, PT, and aPTT?&nbsp;"	"<div>normal BT; ↑ PT; ↑ aPTT; Dx = vitamin
K deficiency. Born at home = not given vitK injection.</div>
<div>&nbsp;</div>"	
"40M + on warfarin for
prosthetic valve placed years ago + receiving broad-spectrum antibiotics for infection; Q asks why required warfarin
dosage over next several weeks would ↓;&nbsp;"	<div>vitamin K deficiency caused by depletion of normal gut flora.”</div>	
"What does vitamin K
do?&nbsp;"	"<div>cofactor
for enzyme called gamma-glutamyl carboxylase → gamma- carboxylates + activates clotting factors
II, VII, IX, and X, as well as anti-clotting proteins C and S. Since factors II (prothrombin) and X are in the
common pathway, PT and PTT are both elevated in vitamin K deficiency. Factor VII is in the
extrinsic pathway; factor IX in the intrinsic pathway. Protein C functions to inactivate factors
Va and VIIIa (activated clotting
factors V and VIII) back to their inactive form.</div>
<div>Protein S is merely a cofactor for protein C.</div>
<div>&nbsp;</div>"	
"How does warfarin relate
to vitamin K?&nbsp;"	"Warfarin inhibits
vitamin K epoxide
reductase, which is the enzyme that recycles vitamin K to its
active form. That means less vitamin K can act as a cofactor for gamma-glutamyl carboxylase. Notice the
enzymes are different. Therefore warfarin leads to decreased activation of clotting factors
II, VII, IX, and X, as well as anti-clotting proteins C and S"	
"If proteins C and S
are anti-clotting, and warfarin inhibits their activation, why would warfarin
be an anticoagulant then?”&nbsp;"	"<div>protein C has a super-short half-life, so the effect of
warfarin in the first few days
actually results in a hypercoagulable state, where protein C is ↓ but the actual clotting factors are still present in greater amounts; this is why heparin is
necessary as a bridging agent – i.e., patients
commenced on warfarin
require simultaneous commencement of heparin for a few days.</div>"	
What does heparin do?&nbsp;	"<div>activates antithrombin III → leads to inactivation of prothrombin (factor
II) and factor
X.</div>"	
"How do you reverse
warfarin? "	"→ vitamin K (slow; takes several
days); if patient
is actively bleeding
or requires surgery
(i.e., fast reversal), answer = fresh
frozen plasma"	
"How do you reverse
heparin?&nbsp;"	protamine sulfate	
"Anything important
about the structures of heparin vs warfarin?&nbsp;"	"<div>&nbsp;heparin is
a large, acidic, anionic molecule
and therefore does not cross the placenta; protamine, which is a positively
charged cation, can bind to and
chelate it. Warfarin is a small lipophilic molecule that can cross the
placenta, and is therefore teratogenic.</div>"	
"34F + DVT + PC
220,000 + PT 13 seconds + PTT 36 seconds + heparin commenced + now PC is
130,000; mechanism?&nbsp;"	"<div>drug-related antibodies → heparin-induced thrombocytopenia (HIT) → type II hypersensitivity → antibodies form against the heparin-platelet factor
4 complex.</div>"	
Tx for HIT&nbsp;	"<div>stop heparin and give direct-thrombin inhibitor
(e.g., dabigatran, lepirudin); warfarin is the number-one wrong answer.</div>"	
"How does a platelet
problem present?&nbsp;"	"<div>&nbsp;epistaxis or generally mild cutaneous findings
(i.e., petechiae, bruising).</div>"	
"How does a clotting
factor problem present?&nbsp;"	"<div>menorrhagia; excessive
bleeding after tooth extraction; hemarthrosis; excessive bleeding after circumcision (neonatal
boys).</div>"	
17F + Hx of epistaxis + sometimes clots in her menstrual pads; Dx till proven otherwise?&nbsp;	"<div>von
Willebrand disease (vWD) → always presents with combination of platelet problem +
clotting factor problem.
Clots with menses
signify heavy bleeding
(i.e., menorrhagia).</div>"	
"Inheritance pattern
of vWD?&nbsp;"	"<span style=""color: rgb(0, 255, 0);""><u><b>autosomal dominant
(high-yield).</b></u></span>"	
Mechanism of von Willebrand factor?&nbsp;	"<div>
<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
→ bridges GpIb on platelets
to underlying collagen
+ vascular endothelium → mediates platelet <b>adhesion </b>(don’t confuse this with platelet aggregation, which is when
platelets stick together via GpIIb/IIIa); this leads to increased bleeding
time. vWF also has secondary/ancillary function
of stabilizing factor
VIII in plasma → in vWD, <b>PTT is elevated
in ~1/2 of question stems </b>(students
tend to erroneously memorize PTT as always ↑,
but this will get you questions wrong).</div></div>"	
"17F + Hx of epistaxis
+ Hx of excessive bleeding with wisdom teeth removal + BT 9 minutes + PT 12 seconds
+ PTT 44 seconds; Dx?&nbsp;"	"→ answer = vWD → BT always
↑; <b>PTT </b>↑ <b>in only ~half
of questions.</b>"	
"17F + Hx of epistaxis
+ cut her finger a month ago that took a long time to stop bleeding + PT normal
+ PTT normal + platelet aggregation
studies normal; Dx?&nbsp;"	"<div>&nbsp;vWD → the ↑ BT is reflected by the cut on the finger taking a while to stop bleeding; PTT need not be
elevated; normal platelet aggregation studies
simply mean that GpIIb/IIIa are functioning properly, but vWD relies on GpIa,
which is adhesion, not aggregation.</div>
<div><ul><li>o&nbsp;&nbsp;
When students get above
vignette wrong, it’s because they don’t realize PTT is normal in about half of vWD vignettes and/or they
forget vWF mediates platelet adhesion, not aggregation.</li></ul></div>"	
"19M + petechiae +
normal platelet count + BT 9 minutes + PTT 42 seconds; Tx for this patient’s condition?&nbsp;"	"<div>&nbsp;desmopressin (DDAVP)
increases vWF synthesis
and release.</div>"	
"16F + took aspirin in
suicide attempt + ↓ Hb + blood in stool; Q asks what finding would
be expected to be abnormal in this
patient?&nbsp;"	"<div>bleeding time (↑↑ because aspirin inhibits COX1/2 → ↓ thromboxane A2 production in platelets → ↓ platelet function); the wrong answer is ↓ platelet count (platelet count
doesn’t change with aspirin/NSAID use); fibrin degradation products is also a
wrong answer (this is ↑ in DIC and pulmonary embolism).</div>"	
"53M + coronary artery
disease + asks physician about celecoxib + physician is reluctant to prescribe because of increased risk of MI with
celecoxib; Q asks why there is ↑ risk;&nbsp;"	"<div>inhibition of prostacyclin (PGI2) formation without
inhibition of thromboxane A2 in platelet”; celecoxib is a COX2 selective inhibitor.</div>"	
"8M + hemarthrosis
+ PTT 90 seconds; Dx?&nbsp;"	→ answer = hemophilia A or B → isolated ↑ in PTT.	
Hemarthrosis in school-age boy; Dx till proven otherwise	<div>&nbsp;hemophilia A or B.</div>	
"<div>Hemarthrosis
in school-age boy + no way to differentiate between
A and B based on the vignette;
Dx?</div>"	"hemophilia A (way more common
than B); for some reason,
this epidemiologic point is assessed on the Step in this fashion."	
"8-day-old neonatal
male + excessive bleeding with circumcision; Dx?&nbsp;"	<div>hemophilia A or B.</div>	
"Inheritance pattern
of hemophilia A and B?&nbsp;"	"<div><span style=""color: rgb(0, 255, 0);"">&nbsp;<b>X-linked recessive (high-yield).</b></span><b></b></div>"	
Mechanism for hemophilia A and B?&nbsp;	"<div>deficient production of factors VIII (A) and IX (B).</div>
<div>&nbsp;</div>
<div>Rarely, they can be caused
by antibodies against
the factors.</div>"	
Tx for hemophilia A?&nbsp;	IV desmopressin (DDAVP) and/or factor VIII replacement	
Tx for hemophilia B?&nbsp;	factor IX replacement only.	
"15M + Hx of receiving
factor VIII replacement therapy for hemophilia A + becoming increasingly less effective
with time + PTT is 160 seconds;
Dx?&nbsp;"	"<div>antibodies against
factor VIII (almost
always due to repeated replacement of factor VIII).</div>"	
"13F + PTT 90 seconds
+ analysis shows deficiency of factor IX; Q asks the mechanism via which this
is possible&nbsp;"	"<div>lyonization (skewed
X-inactivation); the USMLE Q will never give a female with an X-linked recessive disorder unless the
explicit point of the Q is X-inactivation/lyonization. That is, never assume, “hmm well maybe there’s lyonization here…” If the USMLE wants that, they’ll
ask it.</div>"	
"23M + BT 12 minutes +
thrombocytopenia + smear shows giant platelets + failure of platelet agglutination with ristocetin cofactor; Dx
+ mechanism?&nbsp;"	"<div>Bernard-Soulier disease; mechanism = deficiency of platelet GpIb
(mediates adhesion); platelets can be giant for some magical reason.</div>"	
"Wait what’s that
ristocetin assay thing. I’ve seen that before.”&nbsp;"	"<div>&nbsp;all you
need to know is that it will cause
platelet agglutination, <b>but in
Bernard-Soulier disease and vWD, the assay is negative </b>– i.e., the platelets don’t agglutinate. The test
measures the binding of vWD to platelet GpIb, so clearly deficiency of either
will yield a negative test.</div>"	
"23M + BT 12 minutes +
normal platelet count + ristocetin cofactor assay yields agglutination; Dx + mechanism?&nbsp;"	"<div>
<div>Glanzmann thrombasthenia;
mechanism = deficiency of platelet glycoproteins
IIb/IIIa (mediate aggregation, not adhesion). Student says, “Wait, but if it’s
an isolated increase in BT, why can’t this just be ITP then?”
→ Because platelet
count is normal;
in ITP, there’s always
thrombocytopenia. I’ve seen this Dx on the NBMEs show up as just
“thrombasthenia,” where you’re like “Wtf is thrombasthenia?” But that just refers to Glanzmann.</div></div>"	
32F + Hx of Crohn + low Hb + MCV 90; Dx?&nbsp;	"<div>AoCD → seen in autoimmune disease (i.e., RA, IBD, SLE), organ failure
(i.e., renal, liver),
chronic infection (e.g., hepatitis B/C).</div>"	
Mechanism of AoCD?&nbsp;	"<div>inflammatory
state leads to ↑ IL-6 production by liver → ↑ hepcidin production
by liver → ↓ ferroportin acivity → ↓ iron release by gut enterocytes and general cellular stores
→ ↓ iron transport in blood → ferritin levels are normal but serum iron is ↓. Transferrin is also</div>
<div>↓, resulting in ↓ total iron binding capacity (TIBC). This means even though
iron is low in the blood, since transferrin is also low, there’s still ↓ binding capacity
for iron overall.
In contrast, in IDA, TIBC is high (i.e., transferrin goes ↑ to compensate for low serum iron; in
AoCD, transferrin secretion is suppressed despite
↓ serum iron).</div>
<div><ul><li>o&nbsp;&nbsp;
Student says, “But wait,
isn’t this similar to thalassemia, where serum iron is decreased but ferritin is normal?” → Good question, but in thalassemia, 1) they won’t give you a
vignette with autoimmune disease,
organ failure, or chronic illness, and 2) they’ll often throw in target cells,
↓ RDW, or Hb electrophoresis findings.</li></ul></div>"	
"What about MCV and
AoCD?”&nbsp;"	"<div>classically
normal MCV in anemia of chronic disease (normocytic anemia),<span style=""color: rgb(170, 0, 0);""> but some 2CK NBME Qs have ↓ MCV</span> → student
says, “Wait how is this AoCD? Isn’t MCV supposed
to be normal in AoCD?” → my response: “Yes, you’re right, but various 2CK have
it ↓.” → So your take-home regarding
AoCD should be: classically normal,
but can absolutely be ↓ on USMLE.</div>"	
"6F + Hx of multiple
episodes of sore joints + fever of 102F + salmon-pink rash over body + high ESR
+ Hb of 9 g/dL + MCV 72; Dx?&nbsp;"	"<div>&nbsp;anemia of
chronic disease secondary to juvenile rheumatoid arthritis (JRA; aka juvenile idiopathic arthritis;
JIA) → if Q gives you low MCV in AoCD, the vignette will be overwhelmingly obvious for an autoimmune disease
+ you can eliminate the other answers.</div>"	
44F + chronic alcoholism + abdominal fluid wave + low Hb + MCV 84; Dx?&nbsp;	<div>AoCD.</div>	
"68M + hasn’t been to
doctor in years + Hb 8.6 + Hct 25% + MCV 90 + normal RDW + normal iron + normal ferritin + normal transferrin saturation + creatinine 2.9; Dx + Tx?&nbsp;"	"<div>AoCD caused by chronic
renal insufficiency. Tx = EPO.</div>"	
Tx of AoCD?&nbsp;	"<div>&nbsp;answer = supportive care / treat the underlying condition; <b>EPO is the answer only if renal failure is the etiology; if renal failure
is not the underlying Dx, EPO is the wrong
answer.</b></div>"	
"12F + chronic renal
failure + epistaxis for past two weeks + platelets 200,000/uL + Hb 9.5 g/dL; Q
asks the mechanism for the
epistaxis;&nbsp;"	"<div>“acquired platelet
dysfunction”; Dx = uremic platelet dysfunction
→ high blood urea nitrogen (BUN) in renal failure causes a <b>qualitative </b>dysfunction of platelets, where they merely don’t do
their job; there is <b>no quantitative </b>issue
(i.e,. platelet count is normal).</div>
<div><ul><li>o&nbsp;&nbsp;
Students often choose
“erythropoietin deficiency,” which is the wrong answer. Anemia of chronic disease can be seen in renal
failure secondary to decreased EPO, yes, but AoCD in and of itself doesn’t cause epistaxis; epistaxis is seen with
platelet problems; Hb is merely down because
there’s IDA from the epistaxis.</li></ul></div>"	
"82F + back pain + M-protein
spike showing IgG kappa + epistaxis; why the epistaxis?&nbsp;"	"<div>uremic platelet dysfunction secondary to renal failure
from multiple myeloma
(renal amyloidosis).</div>"	
